file,patient,windows,preictal,interictal,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_auc,raw_tp,raw_fp,raw_fn,raw_tn,smooth_accuracy,smooth_precision,smooth_recall,smooth_f1,smooth_auc,smooth_tp,smooth_fp,smooth_fn,smooth_tn
chb03_01_processed_smoothing_freq.npz,chb03,1296,23,1273,0.10416666666666667,0.018612521150592216,0.9565217391304348,0.036514522821576766,0.4139827179890024,22,1160,1,113,0.0787037037037037,0.018898931799506986,1.0,0.037096774193548385,0.3610095973223129,23,1194,0,79
chb03_02_processed_smoothing_freq.npz,chb03,1291,171,1120,0.19829589465530598,0.1417910447761194,1.0,0.24836601307189543,0.7406484962406015,171,1035,0,85,0.17195972114639815,0.13790322580645162,1.0,0.24238128986534374,0.7691781537176274,171,1069,0,51
chb03_03_processed_smoothing_freq.npz,chb03,1289,51,1238,0.11404189294026378,0.04274937133277452,1.0,0.0819935691318328,0.7241439386740156,51,1142,0,96,0.06594259115593483,0.04063745019920319,1.0,0.0781010719754977,0.755139535620387,51,1204,0,34
chb03_04_processed_smoothing_freq.npz,chb03,1296,240,1056,0.18518518518518517,0.18518518518518517,1.0,0.3125,0.5035116792929293,240,1056,0,0,0.18518518518518517,0.18518518518518517,1.0,0.3125,0.51830413510101,240,1056,0,0
chb03_05_processed_smoothing_freq.npz,chb03,396,0,396,0.045454545454545456,0.0,0.0,0.0,,0,378,0,18,0.010101010101010102,0.0,0.0,0.0,,0,392,0,4
chb03_06_processed_smoothing_freq.npz,chb03,1439,0,1439,0.11118832522585129,0.0,0.0,0.0,,0,1279,0,160,0.07088255733148019,0.0,0.0,0.0,,0,1337,0,102
chb03_07_processed_smoothing_freq.npz,chb03,52,0,52,0.019230769230769232,0.0,0.0,0.0,,0,51,0,1,0.038461538461538464,0.0,0.0,0.0,,0,50,0,2
chb03_08_processed_smoothing_freq.npz,chb03,1439,0,1439,0.05350938151494093,0.0,0.0,0.0,,0,1362,0,77,0.017373175816539264,0.0,0.0,0.0,,0,1414,0,25
chb03_09_processed_smoothing_freq.npz,chb03,1439,0,1439,0.006254343293954135,0.0,0.0,0.0,,0,1430,0,9,0.0006949270326615705,0.0,0.0,0.0,,0,1438,0,1
chb03_10_processed_smoothing_freq.npz,chb03,1439,0,1439,0.030576789437109102,0.0,0.0,0.0,,0,1395,0,44,0.01667824878387769,0.0,0.0,0.0,,0,1415,0,24
chb03_11_processed_smoothing_freq.npz,chb03,1439,0,1439,0.02779708130646282,0.0,0.0,0.0,,0,1399,0,40,0.0118137595552467,0.0,0.0,0.0,,0,1422,0,17
chb03_12_processed_smoothing_freq.npz,chb03,1439,0,1439,0.001389854065323141,0.0,0.0,0.0,,0,1437,0,2,0.0006949270326615705,0.0,0.0,0.0,,0,1438,0,1
